R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
147,Dusan Tadic ,29,1,Southampton  ,0,0,1,MF,0,0,0,34(2),2813,6,3,4,0,1.1,74.8,0.2,2,6.78,6.22,1.5,1.3,0.1,0.5,0.5
148,Steve Mounie ,23,0,Huddersfield  ,0,0,1,FW,1,0,0,21(7),1858,7,1,2,0,1.8,62,5.2,3,6.78,5.83,0.5,0.4,0.1,1,0.3
149,Salom?n Rond?n ,28,0,West Bromwich Albion,0,0,1,FW,1,0,0,32(4),2772,7,3,4,0,2.2,67,4.5,2,6.77,5.92,1.3,0.4,0,0.6,0.4
150,Steven Defour ,30,1,Burnley  ,0,1,0,MF,0,0,0,24,2009,1,1,6,0,0.8,83.8,0.2,0,6.77,6.42,0.5,1.4,0.3,0.8,1.9
151,Jonny Evans ,30,1,West Bromwich Albion,0,0,1,DF,0,0,1,26(2),2273,2,2,7,0,0.4,80,1.9,1,6.76,6,0.3,1,0.5,4.4,1.7
152,Daryl Janmaat ,29,1,Watford  ,0,1,0,DF,0,0,1,21(2),1822,3,0,3,0,1,75.9,1.2,1,6.76,6.22,0.4,2,0.2,2.3,1.4
153,Jonathan Hogg ,29,1,Huddersfield  ,0,0,1,MF,0,0,0,29(1),2408,0,0,8,1,0.4,85.1,1.2,1,6.76,5.85,0.3,3.1,0.4,1.5,2.3
154,Jos? Holebas ,34,1,Watford  ,0,1,0,DF,0,0,1,26(2),2382,0,4,7,0,0.6,68.4,1.6,0,6.76,5.94,0.8,1.8,0.3,2.9,1
155,Angelo Ogbonna ,30,1,West Ham ,0,1,0,DF,0,0,1,32,2880,1,0,3,0,0.3,79.7,2.5,0,6.76,5.88,0.3,1,0.8,6,1.8
156,Federico Fern?ndez ,29,0,Swansea  ,0,0,1,DF,0,0,1,30,2677,1,1,5,0,0.3,82.3,2.4,1,6.76,6.16,0,1.3,0.9,6.6,1.3
157,Mame Biram Diouf,30,0,Stoke  ,0,0,1,FW,1,0,0,30(5),2602,6,2,6,0,1.7,57.3,4.1,2,6.76,6.13,0.3,1.4,0,2,0.4
158,Paul Dummett ,26,1,Newcastle United ,0,1,0,DF,0,0,1,19(1),1603,0,0,1,0,0.2,69.4,2.8,0,6.76,5.67,0,1.4,0.5,4.6,1.2
159,Marcus Rashford ,20,1,Manchester United ,1,0,0,FW,1,0,0,17(18),1810,7,5,3,0,1.7,78.3,0.5,1,6.76,6,1.3,0.4,0,0.4,0.2
160,Kiko Femen?a ,27,1,Watford  ,0,1,0,DF,0,0,1,19(4),1715,1,1,2,0,0.4,83.2,0.4,0,6.76,5.9,1.1,1.6,0.1,1.3,1.5
161,DeAndre Yedlin ,25,0,Newcastle United ,0,1,0,DF,0,0,1,31(3),2842,0,2,5,0,0.2,75,1.4,0,6.75,6.33,0.9,1.7,0.2,2.7,1.3
162,Davy Pr?pper ,26,1,Brighton  ,0,1,0,MF,0,0,0,35,3120,0,4,2,1,1,78.1,1.4,0,6.75,6.21,1.1,2.1,0.3,2,1.7
163,James McArthur ,30,1,Crystal Palace ,0,1,0,MF,0,0,0,27(6),2434,5,1,5,0,0.9,79.1,1.2,0,6.75,6.52,0.8,1.8,0.1,1.1,1.1
164,Pablo Zabaleta ,33,0,West Ham ,0,1,0,DF,0,0,1,37,3291,0,1,9,0,0.2,73.2,1.6,0,6.75,5.68,0.2,2.6,0.4,3.4,1.6
165,Joselu  ,28,1,Newcastle United ,0,1,0,FW,1,0,0,19(11),1716,4,1,2,0,1.6,62.7,4.8,0,6.74,6.35,0.2,0.7,0.1,1.2,0.4
166,Etienne Capoue ,30,1,Watford  ,0,1,0,MF,0,0,0,18(5),1542,1,0,3,0,1,82.4,1.8,0,6.74,5.62,0.6,1.9,0,1.5,1.9
167,Jack Cork ,29,1,Burnley  ,0,1,0,MF,0,0,0,38,3420,2,1,7,0,0.4,80.6,1.5,0,6.74,5.96,0.8,1.6,0.4,2.1,1.1
168,Ayoze P?rez ,24,1,Newcastle United ,0,1,0,FW,1,0,0,28(8),2497,8,5,3,0,1.7,71.3,1.2,3,6.74,6,0.9,1.1,0,0.7,0.7
